Accession Number,Date Recorded,Subject,Title
SPW 70,1978-09-10T00:00:00Z,,Deborah Wolf Interviews-Tape Number Six Deborah Wolf Interviews - Lois
SPW 71,1978-08-18T00:00:00Z,,Deborah Wolf Interviews-Tape Seven Deborah Wolf Interviews - Nancy
SPW 72,1978-09-15T00:00:00Z,,Deborah Wolf Interviews-Deborah Wolf Interviews Tape Eight - Anna
SPW 73,1979-10-10T00:00:00Z,,Deborah Wolf Interviews-Tape Nine Deborah Wolf Interviews - Maia
SPW 74,,,Deborah Wolf Interviews-Tape Ten Deborah Wolf Interviews - Maia
SPW 75,1978-08-19T00:00:00Z,,Deborah Wolf Interviews-Tape Eleven Deborah Wolf Interviews - Joanna
SPW 76,1980-04-28T00:00:00Z,,Deborah Wolf Interviews-Tape Twelve Deborah Wolf Interviews - Pat
SPW 77,,,Deborah Wolf Interviews-Tape Thirteen Deborah Wolf Interviews - Pat
SPW 78,1979-08-27T00:00:00Z,,Deborah Wolf Interviews-Tape Fourteen Deborah Wolf Interviews - Dan
SPW 79,,,Deborah Wolf Interviews-Tape Fifteen Deborah Wolf Interviews - Dan
SPW 80,1979-09-28T00:00:00Z,,Deborah Wolf Interviews-Tape Sixteen Deborah Wolf Interviews - James
SPW 81,,,Deborah Wolf Interviews-Tape Seventeen Deborah Wolf Interviews - James
SPW 82,1979-08-29T00:00:00Z,,Deborah Wolf Interviews Tape Eighteen - Jordon
SPW 83,,,Tape Nineteen Deborah Wolf Interviews - Jordon
SPW 84,1980-08-28T00:00:00Z,,Deborah Wolf Interviews-Tape Twenty Deborah Wolf Interviews - Laddie & Gloria
SPW 85,,,Deborah Wolf Interviews-Tape Twenty-One Deborah Wolf Interviews - Laddie & Gloria
SPW 86,1979-07-11T00:00:00Z,,Deborah Wolf Interviews-Tape Twenty-Two Deborah Wolf Interviews - Carolyn
SPW 87,,,Deborah Wolf Interviews-Tape Twenty-Three Deborah Wolf Interviews - Carolyn
SPW 88,1980-04-18T00:00:00Z,,Deborah Wolf Interviews-Tape Twenty-Four Deborah Wolf Interviews - Jose
SPW 89,,,Deborah Wolf Interviews-Tape Twenty-Five Deborah Wolf Interviews - Jose
SPW 90,1980-10-19T00:00:00Z,,Deborah Wolf Interviews-Tape Twenty-Six Deborah Wolf Interviews - Jose
SPW 91,1980-10-27T00:00:00Z,,Deborah Wolf Interviews-Tape Twenty-Seven Deborah Wolf Interviews - Jose
SPW 92,1980-01-23T00:00:00Z,,Deborah Wolf Interviews-Tape Twenty-Eight Deborah Wolf Interviews - Matile
SPW 93,1980-06-23T00:00:00Z,,Deborah Wolf Interviews-Tape Twenty-Nine Deborah Wolf Interviews - Matile
SPW 94,1979-10-17T00:00:00Z,,Deborah Wolf Interviews-Tape Thirty Deborah Wolf Interviews - Kent
SPW 95,,,Deborah Wolf Interviews-Tape Thirty-One Deborah Wolf Interviews - Kent
SPW 96,,,Deborah Wolf Interviews-Tape Thirty-Two Deborah Wolf Interviews - Roger
SPW 97,1979-09-17T00:00:00Z,,Deborah Wolf Interviews-Tape Thirty-Three Deborah Wolf Interviews - Roger
SPW 98,1979-09-09T00:00:00Z,,Deborah Wolf Interviews-Tape Thirty-Four Deborah Wolf Interviews - Dr. -----------
SPW 99,,,Deborah Wolf Interviews-Tape Thirty-Five Deborah Wolf Interviews - Dr. ---------
SPW 100,1978-08-23T00:00:00Z,,Deborah Wolf Interviews-Tape Thirty-Six Deborah Wolf Interviews - Jim
SPW 101,,,Deborah Wolf Interviews-Tape Thirty-Seven Deborah Wolf Interviews - Jim
SPW 102,1979-09-26T00:00:00Z,,Deborah Wolf Interviews-Tape Thirty-Eight Deborah Wolf Interviews - Fred
SPW 103,,,Deborah Wolf Interviews-Tape Thirty-Nine Deborah Wolf Interviews - Fred
SPW 104,1979-08-19T00:00:00Z,,Deborah Wolf Interviews-Tape Forty Deborah Wolf Interviews - Daniel
SPW 105,,,Deborah Wolf Interviews-Tape Forty-One Deborah Wolf Interviews - Daniel
SPW 106,1979-10-09T00:00:00Z,,Deborah Wolf Interviews-Tape Forty-Two Deborah Wolf Interviews - Harriet
SPW 107,1979-10-08T00:00:00Z,,Deborah Wolf Interviews-Tape Forty-Three Deborah Wolf Interviews - Harriet
SPW 108,1979-09-04T00:00:00Z,,Deborah Wolf Interviews-Tape Forty-Four Deborah Wolf Interviews - James
SPW 109,,,Deborah Wolf Interviews-Tape Forty-Five Deborah Wolf Interviews - James
SPW 110,June 1980,,Deborah Wolf Interviews-Tape Forty-Six Deborah Wolf Interviews - Dorr
SPW 111,,,Deborah Wolf Interviews-Tape Forty-Seven Deborah Wolf Interviews - Dorr
SPW 112,September 1979,,Deborah Wolf Interviews-Tape Forty-Eight Deborah Wolf Interviews - Al
SPW 113,October 1979,,Deborah Wolf Interviews-Tape Forty-Nine Deborah Wolf Interviews - John
SPW 114,1979-09-21T00:00:00Z,,Deborah Wolf Interviews-Tape Fifty Deborah Wolf Interviews - Henry
SPW 115,August 1979,,Deborah Wolf Interviews-Tape Fifty-One Deborah Wolf Interviews - Herb
SPW 116,1978-10-25T00:00:00Z,,Deborah Wolf Interviews-Tape Fifty-Two Deborah Wolf Interviews - Arthur
SPW 117,June 1980,,Deborah Wolf Interviews-Tape Fifty-Three Deborah Wolf Interviews - Jean
SPW 118,1979-08-16T00:00:00Z,,Deborah Wolf Interviews-Tape Fifty-Four Deborah Wolf Interviews - Lou
SPW 119,1979-09-09T00:00:00Z,,Deborah Wolf Interviews-Tape Fifty-Five Deborah Wolf Interviews - Paul
SPW 120,September 3,,Deborah Wolf Interviews-Tape Fifty-Six Deborah Wolf Interviews - Burt
,,,
SPW 121,1980-03-09T00:00:00Z,,Deborah Wolf Interviews-Tape Fifty-Seven Deborah Wolf Interviews - Judy
SPW 122,,,Deborah Wolf Interviews-Tape Fifty-Eight Deborah Wolf Interviews - Winnie
SPW 123,,,Deborah Wolf Interviews-Tape Fifty-Nine Deborah Wolf Interviews - Fran
SPW 124,,,Deborah Wolf Interviews-Tape Sixty Deborah Wolf Interviews - Arthur
SPW 125,,,Deborah Wolf Interviews-Tape Sixty-One Deborah Wolf Interviews - Bob
SPW 126,,,Deborah Wolf Interviews-Tape Sixty-Two Deborah Wolf Interviews - Robert (Rev.)
SPW 127,,,Deborah Wolf Interviews-Tape Sixty-Three Deborah Wolf Interviews - Wayne
SPW 128,,,Deborah Wolf Interviews-Tape Sixty-Four Deborah Wolf Interviews - Monika
SPW 129,,,Deborah Wolf Interviews-Tape Sixty-Five Deborah Wolf Interviews - David
SPW 130,,,Deborah Wolf Interviews-Tape Sixty-Six Deborah Wolf Interviews - Jane
SPW 131,,,Deborah Wolf Interviews-Tape Sixty-Seven Deborah Wolf Interviews - Nancy
SPW 132,,,Deborah Wolf Interviews-Tape Sixty-Eight Deborah Wolf Interviews - Elizabeth
SPW 133,,,Deborah Wolf Interviews-Tape Sixty-Nine Deborah Wolf Interviews - Polly
SPW 134,,,Deborah Wolf Interviews-Tape Seventy Deborah Wolf Interviews - Nancy
SPW 135,,,Deborah Wolf Interviews-Tape Seventy-One Deborah Wolf Interviews - Robert
SPW 136,,,Deborah Wolf Interviews-Tape Seventy-Two Deborah Wolf Interviews - Bob
SPW 137,,,Deborah Wolf Interviews-Tape Seventy-Three Deborah Wolf Interviews - Jim
SPW 138,,,Deborah Wolf Interviews-Tape Seventy-Four Deborah Wolf - Jason
SPW 139,,,Deborah Wolf Interviews-Tape Seventy-Five Deborah Wolf Interviews - Ben
SPW 140,,,Deborah Wolf Interviews-Tape Seventy-Six Deborah Wolf Interviews - Wade
SPW 141,,,Deborah Wolf Interviews-Tape Seventy-Seven Deborah Wolf Interviews - Bruce
SPW 142,June 1980,,Deborah Wolf Interviews-Tape Seventy-Eight Deborah Wolf Interviews - Disque
SPW 143,1978-08-07T00:00:00Z,,Deborah Wolf Interviews-Tape Seventy-Nine Deborah Wolf Interviews - Bill
SPW 144,,,Deborah Wolf Interviews-Deborah Wolf Interview Tape Eighty  - Ed
SPW 145,,,Deborah Wolf Interviews-Tape Eighty-One Deborah Wolf Interviews - Daniel
SPW 146,,,Deborah Wolf Interviews-Tape Eighty-Two Deborah Wolf Interviews - Joan
SPW 147,1978-08-27T00:00:00Z,,Deborah Wolf Interviews-Tape Eighty-Three Deborah Wolf Interviews - Florence
SPW 148,,,Deborah Wolf Interviews-Deborah Wolf Interviews/Tape Eighty-Four - Dorothy
SPW 149,,,Deborah Wolf Interviews-Deborah Wolf Interviews/Tape Eighty-Five  - Jane
SPW 150,1979-03-19T00:00:00Z,,Deborah Wolf Interviews-Tape Eighty-Six Deborah Wolf Interviews - Dan
SPW 151,,,Deborah Wolf Interviews-Tape Eighty-Seven Deborah Wolf Interviews - Bill
SPW 152,1978-05-06T00:00:00Z,,Deborah Wolf Interviews-Deborah Wolf Interviews Tape Eighty-Eight  - Lin
SPW 153,Interview with Pat (side B) - May 27,,Deborah Wolf Interviews-Tape Eighty-Nine Deborah Wolf Interviews - Srian and Pat
,1980-01-01T00:00:00Z,,
SPW 154,1979-10-31T00:00:00Z,,Deborah Wolf Interviews-Tape Ninety Deborah Wolf Interviews - Barbara
SPW 155,,,Deborah Wolf Interviews-Tape Ninety-One Deborah Wolf Interviews - Robert
SPW 156,,,Deborah Wolf Interviews-Tape Ninety-Two Deborah Wolf Interviews - Unlabelled
SPW 157,,various,Daughters of Bilitis: Ti Grace Atkinson #1of 10
SPW 159,,,Daughters of Bilitis: Ti-Grace Atkinson #3 of 10
SPW 160,,,Daughters of Bilitis: Ti-Grace Atkinson #4 of 10
SPW 161,,,Daughters of Bilitis: Ti-Grace Atkinson #5 of 10
SPW 163,,,Daughters of Bilitis: Ti-Grace Atkinson #7 of 10
SPW 164,,,Daughters of Bilitis: Ti-Grace Atkinson #8 of 10
SPW 165,,"discusses conflicts with Ruth Simpson, then Present of DOB NYC",Daughters of Bilitis: Ti-Grace Atkinson #9 of 10
SPW 166,,"continues discussion of conflice with Simpson, then president of DOB",Daughters of Bilitis: Ti-Grace Atkinson #10 of 10
SPW 167,,"Linda Lopez, Daughters of Bilitis",Daughters of Bilitis: Linda Lopez #1 of 2
SPW 168,,Linda Lopez,Daughters of Bilitis: Linda Lopez #2 of 2
,,Daughters of Bilitis,
SPW 169,1987-11-27T00:00:00Z,"Detroit, 1st interview 7f5-77, the Ladder, court dates, power struggles",Daughters of Bilitis: Barbara Grier   (I) #1 of 5
SPW 170,,"end of DOB, Ladder, opinions on various issues, Grier's family and her relationships with several lovers",Daughters of Bilitis: Barbara Grier  (II) # 2 of 5
SPW 171,1987-11-29T00:00:00Z,"fiction, poetry, book tours, volunteers, AIDS, fundamentalists, military, gay press","Daughters of Bilitis: Barbara Grier (VI), #3 of 5, with  Donna McBride"
SPW 172,1997-11-19T00:00:00Z,"impact of Ladder, Diana Press, periodicals and literature","Daughers of Bilitis: Barbara Grier (VII), #4 of 5"
SPW 173,1987-11-29T00:00:00Z,,"Daughters of Bilitis: Barbara Grier (VIII), #5 of 5"
SPW 174,1989-07-17T00:00:00Z,"Carole Morton, Daughters of Bilitis","Daughters of Bilitis: Carol Morton (51-A), #1 of 2"
SPW 175,1989-08-17T00:00:00Z,,"Daughters of Bilitis: Carole Morton (51-B), #2 of 2"
SPW 176,1988-02-21T00:00:00Z,Barbara Emerenth,"Daughters of Bilitis: Barbara  Emerenth, (Tape 1), #1 of 2"
,,Daughters of Bilitis,
SPW 177,,,"Daughters of Bilitis: Barbara Emerenth (#40), Tape #2 of 2"
SPW 178,,,"Pat Turner (Kim Stabinski), #1 of 2"
SPW 179,,,Paty Turner (Kim Stabinski) #2 of 2
SPW 180,1988-02-20T00:00:00Z,,Daughters of Bilitis: Barbara Gittings
SPW 158,,various,Daughters of Bilitis: Ti Grace Atkinson #2 of 10
SPW 162,,,Daughters of Bilitis: Ti Grace Atkinson # 6 of 10
SPW 181,1988-02-20T00:00:00Z,,Daughters of Bilitis: Barbara Gittings and Kay  Tobin
SPW 182,1988-01-01T00:00:00Z,LHA and DOB,Daughters of Bilitis: Judith Schwarz and Joan Nestle
SPW 183,1987-05-15T00:00:00Z,"DOB infiltration, Ladder, to Reno '70 convention, copyrights, police homocide, 1958 threats",Daughters of Bilitis:  Helen Sandoz and Stella Rush
SPW 184,,,Daughters of Bilitis: Del Martin and Phyllis Lyon and Nina Kaiser
SPW 185,1987-05-14T00:00:00Z,,Daughters of Bilitis: Nikki Nichols
SPW 186,,,Daughters of Bilitis: Rose Jordan
SPW 187,,,Daughters of Bilitis:  Del Martin and Phyllis Lyon #1 of 4 tapes
SPW 188,,,Daughters of Bilitis:  Del Martin and Phyllis Lyon # 2 of 4
SPW 189,,,Daughters of Bilitis:  Del Martin and Phyllis Lyon #3 of 4 cassettes
SPW 190,,,Daughters of Bilitis:  Del Martin and Phyllis Lyon #4 of 4 tapes
SPW 191,1987-05-11T00:00:00Z,"coming our, marriage, San Francisco, Rugh, 1st DOB meeting",Daughters of Bilitis:  Karen Anderson Ryer (Wells)
,,"social life after DOB, etc.",
SPW 192,1988-10-20T00:00:00Z,interviews with women independently and together,Daughters of Bilitis: Kay O'Hara & Gerrie Morrison- Tape 1
SPW 193,,Describe slides,Daughters of Bilitis: Kay O'Hara and Gerrie Morrison-  Tape 2
SPW 194,1988-10-18T00:00:00Z,,Daughters of Bilitis:  Pat Walker
SPW 195,1988-10-27T00:00:00Z,,Daughters of Bilitis:  Jeanne Cordova-Tape 1
SPW 196,,,Daughters of Bilitis:  Jeanne Cordova - Tape 2
SPW 197,1988-10-17T00:00:00Z,,Daughters of Bilitis:  Marion Zimmer Bradley-Tape 1
SPW 198,1988-10-25T00:00:00Z,her life and coming out,Daughters of Bilitis:  Edith Eyde - TApe 1
SPW 199,,discussion of songs,Daughters of Bilitis:  Edith Eyde - TApe 2
SPW 200,1988-10-17T00:00:00Z,,Daughters of Bilitis: Marion Zimmer Bradley - Tape 2
SPW 201,1988-11-14T00:00:00Z,"""Disabled California Person""",Daughters of Bilitis: Letter to Morgan Gwenwald from Stella Rush
,,"""Invasion of an Alien"", ""Honesty Ends Helplessness"", ""John and Elizabeth""",
SPW 202,1988-11-27T00:00:00Z,remembrance of Sandy and other things,"Daughters of Bilitis: To Morgan with Love, Stella"
SPW 203,1987-06-18T00:00:00Z,,Daughters of Bilitis:  To Morgan G. from Stella Rush
, 11/3/88,,
SPW 204,,,"Daughters of Bilitis:  Seed Tape Series #1, Sten Russell"
SPW 205,1987-06-04T00:00:00Z,Santa Ana,Daughters of Bilitis:  Deed Tape #2 - Santa Ana
, 6/5/87,,
SPW 206,1987-06-20T00:00:00Z,tape made in car,Daughters of Bilitis:  Seed Tape #III
, 6/31/87,,
SPW 207,1989-04-09T00:00:00Z,,Daughters of Bilitis:  Mabel Hampton - Breakfast at Pam's- Tape 1
SPW 208,,,Daughters of Bilitis:  Mabel Hampton - Breakfast at Pam's - TApe 2
SPW 209,2/18/71 and 4/20/71,,Daughters of Bilitis: Workshop 1971
SPW 210,1987-07-19T00:00:00Z,Helen Sandoz,Daughters of Bilitis :  Memorial Service for Helen J. Sandoz
SPW 211,1981-09-15T00:00:00Z,,Daughters of Bilitis:  Casse - live at Sagaris
SPW 212,,Marion's speeches and incidents,"Daughters of Bilitis:  Tape made for Toby, Morgan, Con and Shirley W."
SPW 213,,,Morgan Gwenwald/ SEW
SPW 215 -  SPW 320 (For listing see pages following this one),,,Radical Rose Recordings: The World Collection of Lesbian Sounds (Special Collection # 9922)
SPW 321 - 405( For listing see pages following this one),,,"Sinister Wisdom, Vols. 1 - 54 (Special Collection 200601)"
SPW 406,1996-06-18T00:00:00Z,LHA and her trip across country doing the slide show,Alexis Danzig Interview (from  Special Collection  #9802)
SPW 407,,The women of the Austin Lesbian Organization 1974-1978,"We were all Ra-Ra Lesbians  (from  Special Coll. #9802, Alexis Danzig's trip across the country with the LHA slide show."
SPW 410 (Special Collection 99-11),10/82,for Halloween show?,Radical Lesbian Feminist Terrorist Comedy Group Sound Effects at the HOP Twilight Zone
SPW 411 (Special Collection 9911),circa 1982-1984,1) Overture,SFX R.L.F.T.C.G. at 1st WOW Festival
,,2) I was a Teenaged Lesbian Warewolf,
,,"3) Every Night is Ladies' Night With Me. From the Redmill Clare Mimed Words. Rest of Group Contestants, including infamous beige woman of Mary Anne Bolien",
SPW 412  (from Special Collection 9911),1982-01-01T00:00:00Z,"parents, dating, women, celibacy, couplehood, poetry and ""the straight lesbian",Chocolate Waters
SPW 413 (from Sp. Coll. 9911),1979-06-20T00:00:00Z,,Radical Lesbian Feminist Terrorist Comedy Group on Coca Crystal Show
SPW 414 (from Sp.Coll. 9911),1982/83,10/82 Halloween show,Radical Lesbian Feminist Terrorist Comedy Group Sound Effects from All Tapes
,,6/83 Katz,
,,6/82 Jaib?,
SPW 415 (from Sp. Coll. 9911),1979-11-24T00:00:00Z,,"Nov. 24, '79 Final Run Through of Dial-a-Dyke Broadcast Show"
spw 416 (from Sp. Coll 9911),,,Radical Lesbian Feminist Terrorist Comedy Group at LFL Women's Center
SPW 417 (from Sp. Coll. 9911),1987-12-20T00:00:00Z,"for Suzanne Zuckerman's play , ""Our Christmas Dinner""",Xmas Tape
SPW 418 (from Sp. Coll. 9911),,"Margo Margolis, Margarita Lopez, pre-recorded rehearsals, different takes with Joan, Sarah, Clare, Mary Ann, Marge",WBAI Dial-a-Dyke Rehearsals
SPW 419 (from Sp. Coll. 9911),1979-06-20T00:00:00Z,discussing their new group on the Coco Crystal show,Radical Lesbian Feminist Terrorist Comedy Group: 1st Public appearance
SPW 420 (from Sp. Coll. 9911),1980-05-03T00:00:00Z,T.W.A.T.,Radical Lesbian Feminist Terrorist Comedy Group Performance at LFL 5/3/80
,,Madame Fifi,
,,Charm School Graduates,
,,Tattoo,
,,TV,
,,and takeoffs,
SPW 421 (from Sp. Coll. 9911),1983-06-09T00:00:00Z,,"Radical Lesbian Feminist Terrorist Comedy Group on WBAI, 6/9/83"
SPW 422 (from Sp. Coll. 9911),6/83,Side A: Sound effects from TV shows & musicals,Radical Lesbian Feminist Terrorist Comedy Group 6/83 Sound Effects: Jai and Sarah/ 6/9/83 WBAI
,,"Side B: performance about dating and ""The Power of Negative Thinking""",
SPW 423 (from Sp. Coll 9911),,"Jai announces ""The Stages"" written by Suzanne Zuckerman","Radical Lesbian Feminist Terrorist Group: ""The Stages"" announcements: Jai"
SPW 424,1979-11-28T00:00:00Z,Margarita as Margo Margolis,"Radical Lesbian Feminist Terrorist Comedy Group: Dial-a-Dyke, Sides 1& 2"
,,real people call in,
,,"plus Sarah, Joan, Mary Ann, Clare",
SPW 425 (from Sp. Coll. 9911),,Margarita as Margo Margolis,"Radical Lesbian Feminist Terrorist Comedy Group: Dial-a-Dyke, Sides
3& 4 (from Sp.Coll 9911)"
,,real people call in,
SPW 426,,"Katz, Vanner, Cagney & Lacey, Bar Kit, Art Rus, Tidal Wave",Radical Lesbian Feminist Terrorist Group Sound Effects
SPW 427,1999-01-01T00:00:00Z,,"Hilarith:  The Best of Lesbian Humor, Vol.I"
SPW 408,July 1972,,"Madeline Davis, Terry Marone and Dick Mc Ginnes (from Special Coll. 99-28)Madeline Davis, Terry Marone and Dick Mc Ginnes (from Special Coll. 9929)"
SPW 409,1981-12-31T00:00:00Z,,Madeline Davis  (from  Special Collection 9928)
SPW 214,1991(?),,Domestic Violence
SPW 428,1989-06-25T00:00:00Z,,Mama Doesn't Know -Jackie Bishop Special Coll 9918: Let The Pride Live On
SPW 429,1996-06-24T00:00:00Z,,Mama Doesn't Know-Jacqui Bishop Special  Coll. 9918: Rhythm Express
SPW 430,1990-05-16T00:00:00Z,,Mama Doesn't Know-Jacqui Bishop Special Coll 9918: Marjorie Hill
SPW 431,1988-06-05T00:00:00Z,,Mama Doesn't Know-Jacqui Bishop Special Coll 9918: Joan Nestle and others - Red Barn
SPW 432,,,"Mama Doesn't Know-Jacqui Bishop Special Coll 9918: Sandy Lowe Interview, Tape #2"
SPW 433,1984-09-15T00:00:00Z,,Susan Jill Kahn - Side 1
SPW 434,,,Susan Jill Kahn - Tape 2
SPW 435,1983-04-25T00:00:00Z,,At Home With The ArchivesAt Home With The Archives
SPW 436,1982-02-19T00:00:00Z,Interracial Couples as Lovers and Workng Together,At Home With The Archives
,,Includes overview of Racism European to American History,
SPW 437,1983-02-11T00:00:00Z,,At Home With The Archives
SPW 438,1982-01-08T00:00:00Z,,At Home With The Archives
SPW 439,1982-10-01T00:00:00Z,,At Home with the Archives
SPW 440,,Mental Hospital,At Home With The ArchivesAt Home With The Archives
,,True Love,
SPW 441,1978-01-01T00:00:00Z,Buffalo Lesbian Community,"SP. Coll. 9801: ""Boots of Leather"": Joan, 9-11-78"
SPW 442,,,"Sp. Coll. 9801: ""Boots of Leather.."": Joan, 9-11-78"
SPW 443,1979-04-19T00:00:00Z,,"Sp. Coll. 9801: ""Boots of Leather"": Joe, 4-18-79"
SPW 444,1979-04-18T00:00:00Z,,"Sp. Coll. 9801: ""Boots of Leather.."": Joe, 4-18-79"
SPW 445,1978-01-01T00:00:00Z,,"Sp. Coll. 9801: ""Boots of Leather.."": Joan Laughlin with Donna Kanseter, Doris Lemieux, 1978, 1A"
SPW 446,April 1978,,"Sp. Coll. 9801: ""Boots of Leather.."": Joan Laughlin,  April 1978, with Donna Kanseter and Doris Lemieux"
SPW 447,1978-11-19T00:00:00Z,,"Sp. Coll. 9801: ""Boots of Leather.."": Linda, 11-19-78, Sides 1-2"
SPW 448,,Buffalo Lesbian Community,"Sp. Coll. 9801: ""Boots of Leather..."", Linda, 11-19-78,Side 3"
SPW 449,,,"Sp. Coll.: 9801: ""Boots of Leather.."": Cindy and Joan"
SPW 450,1978-01-01T00:00:00Z,Buffalo Oral History Project,"Sp. Coll. 9801: ""Boots of Leather.."": Judy Interview, K. Peterson, WSC 265, Sides 1-a"
SPW 451,,Buffalo Lesbian Community,"Sp. Coll. 9801: ""Boots of Leather.."": Judy Interview, K. Peterson, WSC 265, Side 3"
SPW 452,1988-10-15T00:00:00Z,,"Sp. Coll. 9801: ""Boots of Leather.."": Mary Ann, 10-15-88, Sides 1-2"
SPW 453,,,"Sp. Coll. 9801: ""Boots of Leather.."": Mary Ann, 10-15-88,Side 3"
SPW 454,,,"Sp.Coll. 9801: ""Boots of Leather.."": Pat, Sides 1-2Sp.Coll. 9801: ""Boots of Leather.."": Pat, Sides 1-2"
SPW 455,,,"Sp. Coll. 9801: ""Boots of Leather.."": Pat, Sides 3-4"
SPW 457,1986-11-11T00:00:00Z,,"Sp. Coll. 9801: ""Boots of Leather.."": Pat and DJ, 11-11-86, Sides 1 &2"
SPW 458,,,"Sp. Coll. 9801: ""Boots of Leather.."": Pat & D.J., 11-11-86; Sides 3-4"
SPW 459,11 -11-86,,"Sp. Coll. 9801: ""Boots of Leather.."": Pat and D.J., Side 5"
SPW 460,1978-07-07T00:00:00Z,,"SP. Coll. 9801: ""Boots of Leather.."": Mry T., 7-7-78, Sides 1 & 2"
SPW 461,,,"Sp. Coll. 9801: ""Boots of Leather.."": Mary T. - Side 3"
SPW 462,1990-01-18T00:00:00Z,,"Sp. Coll. 9801: ""Boots of Leather.."": Paula, 1-18-90, Sides 1&2"
SPW 463,,,"Sp. Coll. 9801: ""Boots of Leather.."": Paula, Side 3"
SPW  464,1979-11-19T00:00:00Z,,"Sp. Coll. 9801: ""Boots of Leather.."": Phil, 11-19-79, Side 1 & 2"
